Product_ID,Product_Name,Category,Subcategory,Supplier_ID,Unit_Cost,Unit_Price
50000,Commercial-Grade Pallet Jack,Material Handling,Pallet Jack,3152,467.68,660.64
50001,Extra-Large Bubble Wrap Roll,Packaging,Bubble Wrap Roll,3115,613.69,833.09
50002,Standard Angle Grinder,Tools,Angle Grinder,3065,268.07,376.98
50003,Multi-Pack Circuit Breaker,Electrical,Circuit Breaker,3095,369.08,598.76
50004,Conveyor Roller - 1101 lb,Material Handling,Conveyor Roller,3192,302.82,479.26
50005,Industrial Hex Bolt Set,Fasteners,Hex Bolt Set,3123,433.02,574.78
50006,Heavy-Duty Hydraulic Jack,Tools,Hydraulic Jack,3206,649.05,997.62
50007,Reinforced Washer Assortment - 40 pc,Fasteners,Washer Assortment,3195,28.01,38.84
50008,Standard Packing Tape,Packaging,Packing Tape,3189,559.94,719.41
50009,Extra-Large Hard Hats - 3539 lb,Safety Equipment,Hard Hats,3184,292.07,419.13
50010,Reinforced Power Strip - S,Electrical,Power Strip,3020,642.13,818.64
50011,Premium Bubble Wrap Roll - 3721 lb,Packaging,Bubble Wrap Roll,3029,234.74,382.03
50012,Heavy-Duty Wire Connector Kit - 4958 lb,Electrical,Wire Connector Kit,3056,449.55,631.26
50013,Washer Assortment - S,Fasteners,Washer Assortment,3074,653.06,1065.85
50014,Commercial Extension Cord - XL,Electrical,Commercial Extension Cord,3058,112.86,171.13
50015,Premium Commercial Extension Cord - 253 lb,Electrical,Commercial Extension Cord,3147,783.26,1316.7
50016,Premium Washer Assortment - 1043 lb,Fasteners,Washer Assortment,3205,21.16,29.89
50017,Heavy-Duty Trash Receptacle - 2093 lb,Cleaning & Facility,Trash Receptacle,3101,501.98,758.98
50018,Standard Poly Mailer,Packaging,Poly Mailer,3130,435.62,569.36
50019,Standard Hydraulic Jack - L,Tools,Hydraulic Jack,3050,203.5,269.28
50020,Commercial-Grade Conveyor Roller - 5244 lb,Material Handling,Conveyor Roller,3148,396.24,606.99
50021,Reinforced Microfiber Cloth Pack - L,Cleaning & Facility,Microfiber Cloth Pack,3161,375.76,557.8
