Customer_ID,Customer_Name,Customer_Type,City,State,Region,Industry
100000,Anchor Landmark Enterprises,Industrial,Denver,Colorado,West,Technology
100001,Vanguard Valley Contractors,Institutional,Albany,New York,Northeast,Education
100002,Anchor Valley Systems,Commercial,Dallas,Texas,South,Education
100003,Premier Capital Manufacturing,Institutional,Indianapolis,Indiana,Midwest,Logistics
100004,Union Summit Retail Partners,Retail Chain,Albany,New York,Northeast,Education
100005,Silverline Elite Partners,Retail Chain,Detroit,Michigan,Midwest,Technology
100006,Pioneer Prime Logistics,Commercial,Minneapolis,Minnesota,Midwest,Construction
100007,Redwood Valley Construction Group,Government,Tucson,Arizona,West,Healthcare
100008,Patriot Elite Medical Supply,Government,Chicago,Illinois,Midwest,Technology
100009,Northwest Signature Construction Group,Industrial,Chicago,Illinois,Midwest,Education
100010,Silverline Allied Medical Supply,Industrial,Newark,New Jersey,Northeast,Technology
100011,Pioneer Elite Hospitality Services,Commercial,Detroit,Michigan,Midwest,Automotive
100012,Sterling Harbor Partners,Commercial,Indianapolis,Indiana,Midwest,Retail
100013,Liberty Legacy Medical Supply,Industrial,Nashville,Tennessee,South,Manufacturing
100014,Cascade Capital Logistics,Institutional,Houston,Texas,South,Technology
100015,Union Crossroads Industries,Retail Chain,San Antonio,Texas,South,Healthcare
100016,Superior Industrial Systems,Retail Chain,Milwaukee,Wisconsin,Midwest,Retail
100017,Silverline Crossroads Supply Co.,Government,Orlando,Florida,South,Retail
100018,Union Central Industrial Systems,Retail Chain,Columbus,Ohio,Midwest,Retail
100019,Pioneer Trusted Industries,Institutional,Orlando,Florida,South,Healthcare
100020,Bluepoint Supply Co.,Retail Chain,Raleigh,North Carolina,South,Retail
100021,Sterling Crossroads Distribution,Retail Chain,Seattle,Washington,West,Logistics
100022,Heritage National Supply Co.,Retail Chain,Dallas,Texas,South,Logistics
100023,Redwood National Group,Commercial,Minneapolis,Minnesota,Midwest,Food Service
100024,Northgate Allied Corp.,Commercial,Nashville,Tennessee,South,Food Service
100025,Pioneer Allied Solutions,Commercial,Dallas,Texas,South,Manufacturing
100026,Cascade First Distribution,Commercial,Houston,Texas,South,Technology
100027,Sterling Landmark Group,Institutional,Salt Lake City,Utah,West,Healthcare
100028,Coastal National Contractors,Government,Tucson,Arizona,West,Food Service
100029,Oakridge Valley Systems,Government,Charlotte,North Carolina,South,Education
100030,Silverline Valley Distribution,Industrial,Charlotte,North Carolina,South,Healthcare
100031,Premier United Industries,Commercial,Chicago,Illinois,Midwest,Automotive
100032,Horizon Harbor Distribution,Institutional,Philadelphia,Pennsylvania,Northeast,Automotive
100033,Vanguard United Industrial Systems,Government,Baltimore,Maryland,Northeast,Logistics
100034,Northgate Regional Industrial Systems,Institutional,Cleveland,Ohio,Midwest,Technology
100035,Maple Capital Construction Group,Retail Chain,Albany,New York,Northeast,Retail
100036,Granite First Medical Supply,Commercial,Raleigh,North Carolina,South,Food Service
100037,Anchor Regional Solutions,Retail Chain,Salt Lake City,Utah,West,Hospitality
100038,Granite Metro Manufacturing,Government,Nashville,Tennessee,South,Retail
100039,Crestview Landmark Hospitality Services,Institutional,Pittsburgh,Pennsylvania,Northeast,Technology
100040,Apex United Medical Supply,Retail Chain,Seattle,Washington,West,Healthcare
100041,Redwood Legacy Industries,Government,Sacramento,California,West,Logistics
100042,Continental Central Systems,Government,Salt Lake City,Utah,West,Logistics
100043,Fairmont National Facilities Group,Retail Chain,Sacramento,California,West,Manufacturing
100044,Fairmont Crossroads Facilities Group,Commercial,Milwaukee,Wisconsin,Midwest,Healthcare
100045,Maple National Medical Supply,Government,Detroit,Michigan,Midwest,Construction
100046,Continental National Enterprises,Retail Chain,Boston,Massachusetts,Northeast,Hospitality
100047,Continental Medical Supply,Retail Chain,Milwaukee,Wisconsin,Midwest,Automotive
100048,National Capital Enterprises,Institutional,Minneapolis,Minnesota,Midwest,Education
100049,Vanguard Crossroads Construction Group,Commercial,Nashville,Tennessee,South,Healthcare
100050,Horizon Industrial Systems,Industrial,Detroit,Michigan,Midwest,Manufacturing
100051,Allied National Systems,Industrial,Phoenix,Arizona,West,Construction
100052,Crestview United Medical Supply,Institutional,Charlotte,North Carolina,South,Retail
100053,Allied Prime Solutions,Institutional,Minneapolis,Minnesota,Midwest,Automotive
100054,Oakridge Elite Construction Group,Institutional,Milwaukee,Wisconsin,Midwest,Education
100055,Lakeside Capital Industrial Systems,Retail Chain,Detroit,Michigan,Midwest,Education
100056,Evergreen Central Corp.,Industrial,San Antonio,Texas,South,Healthcare
100057,Northgate Elite Manufacturing,Government,Minneapolis,Minnesota,Midwest,Automotive
100058,Patriot Signature Corp.,Institutional,Nashville,Tennessee,South,Logistics
100059,Granite Crossroads Logistics,Institutional,Pittsburgh,Pennsylvania,Northeast,Hospitality
100060,Cascade Capital Corp.,Retail Chain,Atlanta,Georgia,South,Technology
100061,Pioneer Harbor Manufacturing,Institutional,Portland,Oregon,West,Technology
100062,Sterling Allied Hospitality Services,Commercial,Columbus,Ohio,Midwest,Healthcare
100063,National Metro Medical Supply,Commercial,Philadelphia,Pennsylvania,Northeast,Technology
100064,Northgate First Facilities Group,Institutional,Newark,New Jersey,Northeast,Education
100065,Westbrook Harbor Manufacturing,Commercial,Indianapolis,Indiana,Midwest,Manufacturing
100066,Pinnacle United Group,Retail Chain,Minneapolis,Minnesota,Midwest,Hospitality
100067,Patriot Harbor Contractors,Retail Chain,Nashville,Tennessee,South,Hospitality
100068,Summitline Reliable Partners,Government,Minneapolis,Minnesota,Midwest,Construction
100069,Pioneer Prime Solutions,Government,Albany,New York,Northeast,Logistics
100070,Horizon Regional Enterprises,Commercial,Dallas,Texas,South,Logistics
100071,Lonestar Central Enterprises,Industrial,Indianapolis,Indiana,Midwest,Education
100072,Northwest Capital Partners,Retail Chain,Baltimore,Maryland,Northeast,Hospitality
100073,Riverside Reliable Corp.,Retail Chain,Denver,Colorado,West,Education
100074,Cascade National Partners,Government,Pittsburgh,Pennsylvania,Northeast,Healthcare
100075,Northgate Reliable Retail Partners,Industrial,Boston,Massachusetts,Northeast,Manufacturing
100076,National Crossroads Services,Commercial,Baltimore,Maryland,Northeast,Healthcare
100077,Lonestar Crossroads Hospitality Services,Institutional,Denver,Colorado,West,Healthcare
100078,Pinnacle Elite Logistics,Government,Detroit,Michigan,Midwest,Retail
100079,Fairmont National Corp.,Institutional,Newark,New Jersey,Northeast,Automotive
100080,Continental Landmark Enterprises,Retail Chain,Orlando,Florida,South,Technology
100081,Pinnacle Harbor Contractors,Government,Seattle,Washington,West,Technology
100082,Bluepoint Valley Retail Partners,Government,Newark,New Jersey,Northeast,Construction
100083,Allied Harbor Hospitality Services,Institutional,Houston,Texas,South,Automotive
100084,Granite Reliable Corp.,Government,Seattle,Washington,West,Hospitality
100085,Summitline Reliable Holdings,Institutional,Seattle,Washington,West,Hospitality
100086,Horizon Prime Manufacturing,Institutional,Portland,Oregon,West,Healthcare
100087,Sterling United Construction Group,Government,Milwaukee,Wisconsin,Midwest,Food Service
100088,Silverline Prime Corp.,Retail Chain,Baltimore,Maryland,Northeast,Retail
100089,Patriot Reliable Industries,Government,Milwaukee,Wisconsin,Midwest,Construction
100090,Premier Central Hospitality Services,Institutional,Chicago,Illinois,Midwest,Education
100091,Redwood United Industrial Systems,Retail Chain,Phoenix,Arizona,West,Manufacturing
100092,Fairmont First Holdings,Institutional,Albany,New York,Northeast,Technology
100093,Bluepoint Capital Contractors,Government,Philadelphia,Pennsylvania,Northeast,Education
100094,Silverline Reliable Distribution,Industrial,Dallas,Texas,South,Manufacturing
100095,Crestview Regional Facilities Group,Retail Chain,Milwaukee,Wisconsin,Midwest,Hospitality
100096,Lakeside Legacy Distribution,Institutional,Baltimore,Maryland,Northeast,Retail
100097,Redwood Reliable Manufacturing,Government,Columbus,Ohio,Midwest,Construction
100098,Cascade United Logistics,Retail Chain,Baltimore,Maryland,Northeast,Technology
100099,Lonestar Legacy Industries,Institutional,Indianapolis,Indiana,Midwest,Logistics
100100,Keystone Capital Partners,Retail Chain,Boston,Massachusetts,Northeast,Manufacturing
100101,Riverside Landmark Medical Supply,Institutional,Tucson,Arizona,West,Automotive
100102,Lakeside Capital Facilities Group,Government,Indianapolis,Indiana,Midwest,Food Service
100103,Pioneer Harbor Facilities Group,Government,Indianapolis,Indiana,Midwest,Logistics
100104,Sterling Legacy Medical Supply,Industrial,Atlanta,Georgia,South,Food Service
100105,Maple Landmark Construction Group,Industrial,Albany,New York,Northeast,Hospitality
100106,Pioneer Allied Contractors,Industrial,Denver,Colorado,West,Manufacturing
100107,Pioneer Central Holdings,Government,Minneapolis,Minnesota,Midwest,Healthcare
100108,Pinnacle Valley Logistics,Commercial,Pittsburgh,Pennsylvania,Northeast,Manufacturing
100109,Sterling Harbor Services,Institutional,Indianapolis,Indiana,Midwest,Logistics
100110,Oakridge Signature Group,Commercial,Cleveland,Ohio,Midwest,Manufacturing
100111,Fairmont Landmark Distribution,Government,Milwaukee,Wisconsin,Midwest,Logistics
100112,Redwood Reliable Distribution,Commercial,Albany,New York,Northeast,Education
100113,Bluepoint Elite Medical Supply,Government,Minneapolis,Minnesota,Midwest,Retail
100114,Crestview Regional Logistics,Government,Cleveland,Ohio,Midwest,Manufacturing
100115,Sterling United Group,Government,Sacramento,California,West,Manufacturing
100116,Premier Allied Group,Government,Orlando,Florida,South,Logistics
100117,Keystone Legacy Industrial Systems,Government,Minneapolis,Minnesota,Midwest,Healthcare
100118,Pioneer Capital Distribution,Industrial,Portland,Oregon,West,Automotive
100119,Apex Central Distribution,Industrial,Chicago,Illinois,Midwest,Technology
100120,Continental Legacy Hospitality Services,Industrial,Charlotte,North Carolina,South,Manufacturing
100121,Summit Central Retail Partners,Government,Charlotte,North Carolina,South,Logistics
100122,Summitline Elite Medical Supply,Commercial,Baltimore,Maryland,Northeast,Logistics
100123,Maple Elite Manufacturing,Retail Chain,Minneapolis,Minnesota,Midwest,Healthcare
100124,Allied First Corp.,Government,Philadelphia,Pennsylvania,Northeast,Retail
