Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Sales_Amount,Shipping_Cost,Order_Status,Delivery_Status
70000000,2025-08-12,100227,50121,7,2561.6,171.9,Delivered,On Time
70000001,2024-02-06,100937,50944,1,441.57,24.51,Delivered,On Time
70000002,2024-09-13,104126,51005,28,18325.63,973.2,Delivered,On Time
70000003,2024-12-28,103778,50323,23,907.55,25.88,Delivered,Delayed
70000004,2025-02-10,101686,50323,28,1026.95,20.62,Delivered,On Time
70000005,2025-12-08,101818,51832,3,592.71,48.93,Delivered,On Time
70000006,2025-10-22,102623,50387,34,25988.91,1905.54,Delivered,On Time
70000007,2024-05-09,100001,50674,3,2638.66,167.39,Delivered,Delayed
70000008,2025-12-07,101183,50623,1,494.55,25.33,Returned,N/A
70000009,2025-09-07,101054,51288,3,2429.48,169.15,Delivered,On Time
70000010,2024-09-29,101217,51261,3,221.33,10.1,Delivered,Early
70000011,2025-09-08,103994,51778,45,33198.96,1841.27,Delivered,On Time
70000012,2024-06-11,101362,50792,55,59952.02,4325.87,Delivered,On Time
70000013,2023-06-07,100971,51525,30,19230.08,974.85,Delivered,On Time
70000014,2024-05-21,102479,50788,44,11147.97,900.22,Delivered,On Time
70000015,2023-05-28,104311,50511,1,178.0,4.5,Delivered,On Time
70000016,2024-11-07,101183,51758,1,302.19,13.22,Delivered,On Time
70000017,2024-03-08,100441,50937,2,1433.22,47.87,Delivered,Delayed
70000018,2023-10-12,101715,50788,9,2331.13,98.27,Cancelled,N/A
70000019,2024-08-14,103678,51766,5,6409.7,564.8,Delivered,On Time
70000020,2024-08-13,102725,51839,6,1859.9,65.95,Delivered,Delayed
70000021,2025-10-18,104048,50883,14,16075.66,689.46,Delivered,Delayed
70000022,2024-05-26,104766,50060,2,1381.81,41.46,Delivered,On Time
70000023,2023-11-19,103920,50108,28,19451.37,1171.99,Delivered,On Time
70000024,2024-12-12,102967,51167,1,172.98,4.5,Delivered,On Time
70000025,2023-05-19,102431,51736,4,2967.54,73.17,Delivered,On Time
70000026,2023-06-12,100235,51758,6,1831.11,150.48,Delivered,On Time
70000027,2024-04-18,104920,51758,19,5744.49,327.57,Delivered,On Time
70000028,2025-08-27,101851,51584,7,4826.67,415.38,Delivered,Delayed
70000029,2024-05-30,100742,51756,1,387.93,31.27,Delivered,On Time
70000030,2023-02-23,103340,51706,45,36543.28,2379.38,Delivered,Early
70000031,2024-11-05,101385,51705,25,27895.31,1382.82,Delivered,On Time
70000032,2025-10-18,102872,50711,13,1379.69,113.19,Delivered,Delayed
70000033,2024-07-24,102881,50788,35,8846.72,596.4,Delivered,Delayed
70000034,2024-11-09,102162,50687,1,453.19,10.85,Delivered,On Time
70000035,2025-09-19,104158,50334,6,4046.34,247.0,Delivered,On Time
70000036,2024-06-18,101303,50719,8,7602.71,301.65,Delivered,On Time
70000037,2024-07-30,102176,51768,13,11428.55,395.98,Delivered,On Time
70000038,2023-05-04,102639,51917,12,955.32,33.04,Delivered,Delayed
70000039,2025-07-05,103324,50323,6,230.26,19.94,Delivered,On Time
70000040,2025-04-28,103882,51298,2,1262.6,86.62,Delivered,Early
70000041,2025-09-26,101906,51908,2,2272.91,156.8,Delivered,On Time
70000042,2024-03-19,103217,50422,12,15609.72,1100.64,Delivered,On Time
70000043,2023-11-14,100731,51704,43,31474.3,1607.54,Delivered,On Time
70000044,2025-09-29,104656,50621,60,70084.68,4875.27,Delivered,On Time
70000045,2025-07-18,101848,50803,1,1182.27,41.44,Returned,N/A
70000046,2024-01-22,103608,51785,12,7584.97,473.18,Delivered,On Time
70000047,2023-01-05,100118,50165,28,19187.31,1291.41,Cancelled,N/A
70000048,2024-06-06,101041,50881,18,23505.01,1478.41,Delivered,On Time
70000049,2025-06-29,102399,50989,3,4001.13,257.26,Cancelled,N/A
70000050,2024-01-27,104386,51758,35,10658.96,459.35,Delivered,On Time
70000051,2023-05-30,102576,51123,38,13129.28,263.27,Delivered,On Time
70000052,2024-01-02,104640,51851,16,13076.41,722.79,Delivered,On Time
70000053,2025-12-14,102377,50689,9,218.55,15.3,Delivered,On Time
70000054,2023-10-08,102415,50965,16,15941.14,769.52,Delivered,On Time
70000055,2025-04-19,100536,50068,4,2207.7,175.17,Delivered,On Time
70000056,2024-01-15,103973,51967,21,123.07,5.65,Delivered,Delayed
70000057,2025-10-28,101209,50485,50,15238.4,509.69,Delivered,On Time
70000058,2025-06-12,104471,51821,56,57529.87,3110.76,Delivered,Delayed
70000059,2023-03-27,104558,50789,22,24677.42,2068.57,Delivered,Delayed
